admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
NEI MONGOL,7252754.0,48.37491226196289,149928,48.37491989135742
JILIN,4311269.0,48.37491226196289,89122,48.37491989135742
YUNNAN,3595126.75,48.37491226196289,74318,48.37491989135742
SHANXI,1788855.875,48.37491226196289,36979,48.37491989135742
HUBEI,2052886.375,48.374916076660156,42437,48.37491989135742
XINJIANG UYGUR,2223166.0,48.374916076660156,45957,48.37491989135742
HENAN,3742622.0,48.374916076660156,77367,48.37491989135742
JIANGXI,1171834.0,48.374916076660156,24224,48.37491989135742
TIANJIN,161717.34375,48.374916076660156,3343,48.37491989135742
BEIJING,142222.25,48.374916076660156,2940,48.37491989135742
CHONGQING,539815.6875,48.374916076660156,11159,48.37491989135742
GUIZHOU,1922129.0,48.37491989135742,39734,48.37491989135742
SHANDONG,3280013.0,48.37491989135742,67804,48.37491989135742
LIAONING,3292058.5,48.37491989135742,68053,48.37491989135742
HEBEI,3539883.0,48.37491989135742,73176,48.37491989135742
HEILONGJIANG,10142044.0,48.37491989135742,209655,48.37491989135742
QINGHAI,148365.875,48.37491989135742,3067,48.37491989135742
NINGXIA HUI,301907.875,48.37491989135742,6241,48.37491989135742
GANSU,1636910.5,48.37491989135742,33838,48.37491989135742
JIANGSU,1773521.25,48.37491989135742,36662,48.37491989135742
FUJIAN,402527.71875,48.37491989135742,8321,48.37491989135742
ZHEJIANG,341526.9375,48.37491989135742,7060,48.37491989135742
GUANGDONG,772063.75,48.37491989135742,15960,48.37491989135742
HUNAN,1529131.25,48.37491989135742,31610,48.37491989135742
XIZANG,172263.09375,48.37491989135742,3561,48.37491989135742
SICHUAN,2833658.0,48.37492370605469,58577,48.37491989135742
ANHUI,2506304.75,48.37492370605469,51810,48.37491989135742
SHAANXI,1446361.875,48.37492370605469,29899,48.37491989135742
GUANGXI,1557188.75,48.37492370605469,32190,48.37491989135742
SHANGHAI,11513.232421875,48.37492752075195,238,48.37491989135742
