capex,opex,cf,lcoe_usd_mwh
2853.671072129897,113.13070494216818,0.7709971620151161,56.633215845738825
2694.2498151598916,112.92481239512357,0.8181314294653801,51.24202295622412
2911.028315857245,103.06008572940414,0.6964707876782569,61.930069998677965
2810.5812594988693,97.07692034598796,0.72749136728969,56.86268552308884
2489.071386953227,105.39460259625777,0.7577287834160487,51.2745560628278
3037.9111454491836,101.81581364153307,0.7433442579878458,59.67311015625412
2846.0012743011844,107.1966948641358,0.7611447521627998,56.36773380021066
2861.1195342990527,122.0269751542223,0.756787455316572,59.144565434516366
2518.5250965364844,102.48915154358453,0.7761623251359105,50.03838778770314
2699.2287302508626,105.70696593705341,0.7032428371730496,58.51805703639458
2663.3531622338196,113.22703599150265,0.7454054741244958,55.841130852806934
2971.852679201298,109.15083424812289,0.785321355038387,56.64329009706746
2783.664011027333,97.49623176507194,0.7388832641241297,55.65822914255234
2885.085155626567,101.94767496527275,0.7502847007587486,56.9463136884257
2696.219992175297,119.46625104306067,0.6905807427872799,61.81851875787135
2587.0529642929923,100.07675215305841,0.7252190832224003,54.19181975175335
2742.9140407280574,111.38232958642469,0.7472227119249991,56.57082572832122
2457.7619684288425,114.81282516632419,0.7419954582078059,53.356086071425736
2888.445394177332,104.56283625718774,0.7683419676059883,56.04365271041178
2777.8154273399678,113.22623527892779,0.7589216358624464,56.47167426826024
2844.2054178303315,102.18066671291105,0.7883009315424848,53.67499386171582
2655.5573045614674,104.98857004229063,0.784579341842268,51.74724141233542
3029.230327861971,105.56178104298888,0.7270934084949429,61.466306004834955
2939.365508667043,123.96941517109933,0.6890867207550604,66.50068700791293
2856.370953161804,103.360742494188,0.7845376243797689,54.27126409351878
2566.559768478328,100.96144541755662,0.7358490732976405,53.246123795353284
2706.1883944623864,119.04692920809615,0.7374898730112068,57.96720250518772
2432.7621635116334,101.95459218867664,0.7172130486903379,52.77755986950156
2538.643535127443,117.31617230893414,0.766232081406233,53.178769032357756
2803.158687826046,111.67953489043495,0.7311357758613787,58.749821649524925
2836.4938680611976,110.30909296737435,0.7195910292205758,59.974142318433444
3023.995577977937,113.81979989049711,0.750254738189921,60.75008001969669
2641.3575334408165,113.24655885478924,0.7720111232579537,53.61257014564833
2663.1928373568812,100.33714996221319,0.7300725360062155,54.99605435011944
2707.3837087392853,124.81573283685434,0.7690798673206561,56.45921305894198
2563.157959533862,119.77609946242136,0.7470917469881231,55.27064990307539
2519.9771788642397,117.91450472290575,0.7423976493391268,54.70712811586472
2709.9641814014767,111.13939740956204,0.7385972465326284,56.713214852892925
2586.8535532985024,109.37698435924402,0.7154695670824871,56.411153312141224
2796.445831909262,109.60432324348726,0.7361729505341521,57.927781868297046
2693.4972005746927,95.47594454066305,0.7881432464744814,50.654141892300025
2891.978573975038,108.99132405491125,0.7089024763153174,61.509585005836804
2812.104225858282,111.16727390455338,0.8033407103047049,53.51653511600494
2634.4834897820974,111.84181659106163,0.7097755076776451,57.983222084761564
2891.6836678494296,105.97579094434394,0.7388189311714615,58.54868983114891
2873.0501775107405,108.52352362182684,0.7584488501621206,57.15208519074528
2671.1690434513503,111.40565649803162,0.782288359790236,53.0502386861184
2621.826562749691,107.78246178059189,0.7151908783598038,56.70554727465339
2802.8751980352476,120.8506415413469,0.7148421889541395,61.549209555266415
2527.702375654698,112.80074093110763,0.7603413107343214,52.757784190443815
2569.982631263488,93.475228492181,0.732388148729104,52.381244597285075
2361.5086431208,96.17792550616919,0.7617595745701564,47.81761907886726
2861.656535940962,112.48223221702182,0.7800729595116396,55.98972319794722
2793.9632744494584,107.50323662294569,0.7044073672505697,60.161587351480826
2814.6971100920205,116.0857647720706,0.7831736791556448,55.64720003096572
2857.8122039026957,102.2677868350667,0.6955629584201172,61.0564602165504
2702.8783843069714,95.36891347112915,0.7912626999375936,50.566756327257586
2749.0829495604676,107.05438433521356,0.8084381188568556,51.75834726332677
2527.736726109962,113.47094250571435,0.7638352309550981,52.617106837504906
2507.2697322223403,121.46211805884619,0.811691062424895,50.367061394220514
2795.738147334031,117.46305688657797,0.7802496728944558,55.79541741891971
2708.031713021597,108.73751288730273,0.6973408119034514,59.645459836430064
2747.546226800902,115.34618554622895,0.6815477570417474,62.75923327165363
