threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,47714.7,7.873,20.69,49909,
0.35,42608.6,7.03,18.476,44512,-0.89
0.4,36881.6,6.085,15.993,38504,-1.309
0.45,30534.5,5.038,13.24,31874,-1.889
0.5,24065.3,3.971,10.435,25126,-2.656
0.55,17751.3,2.929,7.697,18537,-3.465
0.6,12881.9,2.126,5.586,13459,-3.985
0.65,9195.6,1.517,3.987,9616,-4.557
0.7,6434.9,1.062,2.79,6737,-5.614
0.75,4034.4,0.666,1.749,4214,-8.357
0.8,1939.6,0.32,0.841,2014,
