threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,49123.3,7.368,47.12,51484,
0.35,45914.1,6.887,44.042,48136,-0.535
0.4,42107.3,6.316,40.39,44155,-0.94
0.45,36022.8,5.403,34.554,37785,-1.931
0.5,26647.7,3.997,25.561,27984,-3.402
0.55,17890.6,2.684,17.161,18818,-4.608
0.6,11657.5,1.749,11.182,12283,-5.364
0.65,7468.3,1.12,7.164,7884,-6.057
0.7,4698.3,0.705,4.507,4969,-6.875
0.75,2854.2,0.428,2.738,3024,-8.056
0.8,1632.5,0.245,1.566,1732,
