admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
SAKHA,6085205.0,60.9111328125,99903,60.91114044189453
KRASNOYARSK,2919044.25,60.9111328125,47923,60.91114044189453
ARKHANGEL'SK,779845.25,60.9111328125,12803,60.91114044189453
PSKOV,421322.3125,60.9111328125,6917,60.91114044189453
KHAKASS,107751.796875,60.9111328125,1769,60.91114044189453
NOVGOROD,331661.125,60.9111328125,5445,60.91114044189453
VOLGOGRAD,45500.6171875,60.9111328125,747,60.91114044189453
NOVOSIBIRSK,715705.875,60.911136627197266,11750,60.91114044189453
KHANTY-MANSIY,436550.125,60.911136627197266,7167,60.91114044189453
LENINGRAD,468284.8125,60.911136627197266,7688,60.91114044189453
TOMSK,440265.6875,60.911136627197266,7228,60.91114044189453
TATARSTAN,445199.5,60.911136627197266,7309,60.91114044189453
YAMAL-NENETS,474924.125,60.911136627197266,7797,60.91114044189453
TYUMEN',432469.0625,60.911136627197266,7100,60.91114044189453
SVERDLOVSK,843923.8125,60.911136627197266,13855,60.91114044189453
BASHKORTOSTAN,638287.8125,60.911136627197266,10479,60.91114044189453
YAROSLAVL',419129.53125,60.911136627197266,6881,60.91114044189453
CHUKOT,237066.140625,60.911136627197266,3892,60.91114044189453
BELGOROD,117010.296875,60.911136627197266,1921,60.91114044189453
PRIMOR'YE,235299.71875,60.911136627197266,3863,60.91114044189453
VORONEZH,62982.1171875,60.911136627197266,1034,60.91114044189453
MORDOVIA,61642.0703125,60.911136627197266,1012,60.91114044189453
MARIY-EL,157698.9375,60.911136627197266,2589,60.91114044189453
OREL,244558.21875,60.911136627197266,4015,60.91114044189453
BRYANSK,346340.71875,60.911136627197266,5686,60.91114044189453
KURSK,268800.84375,60.911136627197266,4413,60.91114044189453
CHELYABINSK,305713.0,60.911136627197266,5019,60.91114044189453
OMSK,324473.625,60.911136627197266,5327,60.91114044189453
KEMEROVO,410419.25,60.911136627197266,6738,60.91114044189453
KALUGA,399698.875,60.911136627197266,6562,60.91114044189453
UDMURT,581823.1875,60.911136627197266,9552,60.91114044189453
IRKUTSK,1549457.5,60.911136627197266,25438,60.91114044189453
VLADIMIR,294809.90625,60.911136627197266,4840,60.91114044189453
NENETS,47327.953125,60.911136627197266,777,60.91114044189453
SARATOV,55124.578125,60.911136627197266,905,60.91114044189453
NORTH OSSETIA,14679.583984375,60.911136627197266,241,60.91114044189453
YEVREY,36120.3046875,60.911136627197266,593,60.91114044189453
KIROV,993947.9375,60.911136627197266,16318,60.91114044189453
KOSTROMA,415353.0625,60.91114044189453,6819,60.91114044189453
RYAZAN',74920.703125,60.91114044189453,1230,60.91114044189453
KOMI,1000709.125,60.91114044189453,16429,60.91114044189453
AMUR,1006495.6875,60.91114044189453,16524,60.91114044189453
KHABAROVSK,1026352.6875,60.91114044189453,16850,60.91114044189453
KURGAN,254547.65625,60.91114044189453,4179,60.91114044189453
NIZHEGOROD,518902.0,60.91114044189453,8519,60.91114044189453
SMOLENSK,625679.25,60.91114044189453,10272,60.91114044189453
MAGADAN,610207.8125,60.91114044189453,10018,60.91114044189453
ALTAY,537540.8125,60.91114044189453,8825,60.91114044189453
STAVROPOL',60728.40625,60.91114044189453,997,60.91114044189453
ROSTOV,159769.921875,60.91114044189453,2623,60.91114044189453
TUVA,256923.1875,60.91114044189453,4218,60.91114044189453
KAMCHATKA,256801.375,60.91114044189453,4216,60.91114044189453
KRASNODAR,282140.40625,60.91114044189453,4632,60.91114044189453
GORNO-ALTAY,259603.28125,60.91114044189453,4262,60.91114044189453
MURMANSK,327701.9375,60.91114044189453,5380,60.91114044189453
SAMARA,184560.75,60.91114044189453,3030,60.91114044189453
CHUVASH,94412.265625,60.91114044189453,1550,60.91114044189453
ORENBURG,108604.5625,60.91114044189453,1783,60.91114044189453
UL'YANOVSK,237127.0625,60.91114044189453,3893,60.91114044189453
ZABAYKAL'YE,1219441.0,60.91114044189453,20020,60.91114044189453
PERM',831741.625,60.91114044189453,13655,60.91114044189453
TVER',888449.875,60.91114044189453,14586,60.91114044189453
VOLOGDA,697128.0,60.91114044189453,11445,60.91114044189453
BURYAT,633110.375,60.91114044189453,10394,60.91114044189453
CITY OF ST. PETERSBURG,8710.29296875,60.91114044189453,143,60.91114044189453
DAGESTAN,23938.078125,60.91114044189453,393,60.91114044189453
INGUSH,9258.4931640625,60.91114044189453,152,60.91114044189453
LIPETSK,9014.8486328125,60.91114044189453,148,60.91114044189453
KALMYK,2253.712158203125,60.91114044189453,37,60.91114044189453
ADYGEY,36790.328125,60.91114044189453,604,60.91114044189453
KABARDIN-BALKAR,31430.1484375,60.91114044189453,516,60.91114044189453
CHECHNYA,33135.66015625,60.91114044189453,544,60.91114044189453
MOSCOW CITY,974.5782470703125,60.91114044189453,16,60.91114044189453
TAMBOV,8649.3818359375,60.91114044189453,142,60.91114044189453
PENZA,79367.21875,60.9111442565918,1303,60.91114044189453
KARELIA,590046.25,60.9111442565918,9687,60.91114044189453
MOSKVA,580117.75,60.9111442565918,9524,60.91114044189453
TULA,143080.28125,60.9111442565918,2349,60.91114044189453
IVANOVO,304616.625,60.9111442565918,5001,60.91114044189453
KARACHAY-CHERKESS,34719.3515625,60.9111442565918,570,60.91114044189453
ASTRAKHAN',182.73342895507812,60.9111442565918,3,60.91114044189453
