admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
LIMPOPO,2236.844970703125,65.78955841064453,34,75.32926940917969
EASTERN CAPE,874426.75,65.92481231689453,13264,76.59703063964844
KWAZULU-NATAL,190448.84375,66.56723022460938,2861,77.81202697753906
WESTERN CAPE,694228.25,66.70781707763672,10407,77.96244812011719
FREE STATE,102518.953125,67.13749694824219,1527,77.79371643066406
MPUMALANGA,18148.158203125,67.97062683105469,267,78.13105010986328
NORTHERN CAPE,779627.5,71.57141876220703,10893,81.80839538574219
GAUTENG,552.7470092773438,78.96385955810547,7,80.59497833251953
