parameter,S1,S1_conf,ST,ST_conf,dominant
penetration_factor,0.5967,0.0592,0.6019,0.0512,True
ef_thermal_gco2_kwh,0.3817,0.0481,0.3866,0.0333,True
ef_lifecycle_gco2_kwh,0.0164,0.0111,0.0166,0.0016,False
cf_renewable,0.0,0.0,0.0,0.0,False
