parameter,S1,S1_conf,ST,ST_conf,dominant
penetration_factor,0.5824,0.0579,0.5878,0.0501,True
ef_thermal_gco2_kwh,0.3858,0.0482,0.3908,0.0338,True
ef_lifecycle_gco2_kwh,0.0263,0.014,0.0267,0.0026,False
cf_renewable,0.0,0.0,0.0,0.0,False
