threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,50507.0,6.061,37.165,46877,
0.35,48174.8,5.781,35.449,44731,-0.294
0.4,46458.4,5.575,34.186,43152,-0.277
0.45,44953.7,5.394,33.079,41768,-0.31
0.5,43361.1,5.203,31.907,40303,-0.368
0.55,41763.8,5.012,30.731,38833,-0.465
0.6,39832.9,4.78,29.311,37064,-1.159
0.65,34070.0,4.088,25.07,31727,-1.155
0.7,33778.5,4.053,24.856,31457,-0.109
0.75,33542.9,4.025,24.682,31239,-0.395
0.8,32013.6,3.842,23.557,29815,
